site	translation_id	copyright_status	copyright
laparola.net	asv	public_domain	"American Standard Version (ASV) Description The American Standard Version of 1901 is an Americanization of the English Revised Bible, which is an update of the KJV to less archaic spelling and greater accuracy of translation. It has been called ""The Rock of Biblical Honesty."" It is the product of the work of over 50 Evangelical Christian scholars.While the ASV retains many archaic word forms, it is still more understandable to the modern reader than the KJV in many passages. The ASV also forms the basis for several modern English translations, including the World English Bible, which is also in the Public Domain. The ASV uses ""Jehovah"" for God's proper name. While the current consensus is that this Holy Name was more likely pronounced ""Yahweh,"" it is refreshing to see this rendition instead of the overloading of the word ""Lord"" that the KJV, NASB, and many others do.Pronouns referring to God are not capitalized in the ASV, as they are not in the NIV and some others, breaking the tradition of the KJV. Since Hebrew has no such thing as tense, and the oldest Greek manuscripts are all upper case, anyway, this tradition was based only on English usage around 1600, anyway. Not capitalizing these pronouns solves some translational problems, such as the coronation psalms, which refer equally well to an earthly king and to God. Rights Public domain Date 1901 Publisher Thomas Nelson & Sons ISBN 978-1567940619"
laparola.net	bbe	public_domain	Bible in Basic English (BBE) Description The form in which the Bible is given here is not simply another example of the Bible story put into present-day English. The language used is Basic English.Basic English, produced by Mr C. K. Ogden of the Orthological Institute, is a simple form of the English language which, with 850 words, is able to give the sense of anything which may be said in English. By the addition of 50 Special Bible words and the use of 100 words listed as giving most help in the reading of English verse, this number has been increased to 1000 for the purpose of putting the Bible into Basic.... are used where it is no longer possible to be certain of the true sense of the Hebrew words, and for this reason no attempt has been made to put them into Basic.*** are used as a sign that one or more Hebrew words, necessary to the sense, have been taken out at some time or other.[] are used for marking additions made by later writers.() are used for marking additions put in for the purpose of making the sense clear. Rights Public domain Date 1941 (NT), 1949 (OT) Publisher Cambridge University Press ISBN 978-0521506540
laparola.net	cei1974	public_domain	C.E.I. (1974) (CEI1974) Date 1974 Rights © Conferenza Episcopale Italiana s.r.l - Roma Description Alcune volte un versetto o frase è spostato nel testo della C.E.I., e come conseguenza i riferimenti dei versetti non sono in ordine, che è un problema per il programma. Questi riferimenti sono stati incorporati cambiando il minimo possibile lo schema usato nella C.E.I. stampata. Alcuni esempi sono Isaia 7:8-9; 10:16-18; 33:21-23; e 41:6-7/40:19.
laparola.net	darbyfr	public_domain	French Darby (DarbyFr) Date 1859 (NT), 1885 (AT) Rights Domaine public Description William Joseph Lowe (1838–1927) and Mons. Schlumberger were in the translation team for the Pau-Vevey French translation which was first issued in 1859. The title page read, 'Les LIVRES SAINTS CONNUS SOUS LE NOM DE NOUVEAU TESTAMENT. Version nouvelle.' Darby worked on this project in Pau, Southern France but the work was done primarily for the numerous Brethren in French-Switzerland. The translation of the New Testament was reissued in 1872, 1875 and 1878. The complete Bible appeared in 1885.
laparola.net	dio	public_domain	Diodati (Dio) Date 1607 Rights Pubblico dominio Description La traduzione di Giovanni Diodati del 1607, riveduta nel 1821. Questa è l'edizione della Società Biblica Britannica e Forestiera (1877)
laparola.net	dr	public_domain	Douay-Rheims (DR) Date Originally published together (OT and NT) in 1609 and 1610 ISBN BS20 Rights Public Domain Description The Challoner Revision of the Douay-Rheims translation.
laparola.net	eng_kjv	public_domain	King James Version (with Apocrypha) (KJVa) Source Text provided by the Unbound Bible project from Biola University.
laparola.net	eng_kjv2006	public_domain	King James Version (with definitions) (KJVd) Info The King James Version with Strong's Markup Source From Project KJV2006 by the CrossWire Bible Society .
laparola.net	eng_ylt	public_domain	Young's Literal Translation (YLT) Source Text provided by the Unbound Bible project from Biola University.
laparola.net	leb	open_license	"Lexham English Bible (LEB) Publisher Logos Bible Software Date 2012 Rights Copyright 2010, 2012 Logos Bible Software Description {\fonttbl{\f0\froman\fprq2\fcharset0 Times New Roman;}{\f1\fswiss\fprq2\fcharset0 Segoe Condensed;}{\f2\fswiss\fprq2\fcharset128 Arial Unicode MS;}{\f3\fnil\fcharset0 Palatino Linotype;}}{\colortbl ;\red0\green0\blue255;}\viewkind4\uc1\brdrt\brdrs\brdrw20\brsp300 \sb360\qc\lang1033\i\f0\fs48 The \fs24 \qc\scaps\fs64 The Lexham English Bible \scaps0\fs24 \sb720\qc\scaps\fs36 W. Hall Harris III \scaps0\fs24 Copyright 2010, 2012 Logos Bible Software \brdrb\brdrs\brdrw20 \sb1440\sa180\sl-280\slmult0\scaps\fs40 License\scaps0\fs24 \sa200\sl276\slmult1 You can give away the Lexham English Bible, but you can't sell it on its own. If the LEB comprises less than 25% of the content of a larger work, you can sell it as part of that work. If you give away the LEB for use with a commercial product, or sell a work containing more than 1,000 verses from the LEB, you must annually report the number of units sold, distributed, and/or downloaded. You must always attribute quotations of the LEB. If you quote less than 100 verses of the LEB in a single work you can attribute it by simply adding (LEB) after the quotation. Longer quotations, or use of 100 or more verses in a single work, must be accompanied by the following statement: Scripture quotations marked (LEB) are from the Lexham English Bible. Copyright 2010 Logos Bible Software. Lexham is a registered trademark of Logos Bible Software. In electronic use, link \ldblquote LEB\rdblquote  and \ldblquote Lexham English Bible\rdblquote  to http://lexhamenglishbible.com, and \ldblquote Logos Bible Software\rdblquote  to http://logos.com. If all quotations are unmarked and from the LEB, you may remove ""marked (LEB) are"" from the statement. In support of non-English Bible translation, non-profit organizations may use 50% as the maximum portion the LEB may comprise of a work offered for sale. (This specifically allows the creation and commercial sale of diglot Bibles.) \b Trademarks \b0 Lexham is a registered trademark of Logos Bible Software. You may use LEB or Lexham English Bible to refer to the Lexham English Bible, but may not use the Lexham trademark as any part of the name of a larger work quoting or containing it. \page \brdrb\brdrs\brdrw20 \sb1440\sa180\sl-280\slmult0\scaps\fs40 Preface\scaps0\fs24 \sl-280\slmult0\f1 With approximately one hundred different English translations of the Bible already published, the reader may well wonder why yet another English version has been produced. Those actually engaged in the work of translating the Bible might answer that the quest for increased accuracy, the incorporation of new scholarly discoveries in the fields of semantics, lexicography, linguistics, new archaeological discoveries, and the continuing evolution of the English language all contribute to the need for producing new translations. But in the case of the Lexham English Bible (LEB), the answer to this question is much simpler; in fact, it is merely twofold. First, the LEB achieves an unparalleled level of transparency with the original language text because the LEB had as its starting point the Lexham Greek-English Interlinear New Testament . It was produced with the specific purpose of being used alongside the original language text of the Bible. Existing translations, however excellent they may be in terms of English style and idiom, are frequently so far removed from the original language texts of scripture that straightforward comparison is difficult for the average user. \f0 Of course distance between the original language text and the English translation is not a criticism of any modern English translation.To a large extent this distance is the result of the philosophy of translation chosen for a particular English version, and it is almost always the result of an attempt to convey the meaning of the original in a clearer and more easily understandable way to the contemporary reader.\f1  However, there are many readers, particularly those who havestudied some biblical Greek, who desire a translation that facilitates straightforward and easy comparisons between the translation and the original language text. The ability to make such comparisons easily in software formats like Logos Bible Software makes the need for an English translation specifically designed for such comparison even more acute. Second, the LEB is designed from the beginning to make extensive use of the most up-to-date lexical reference works available. For the New Testament this is primarily the third edition of Walter Bauer's A Greek-English Lexicon of the New Testament and Other Early Christian Literature (BDAG). Users can be assured that the LEB as a translation is based on the best scholarly research available. The Greek text on which the LEB New Testament is based is that of NA27 ( Novum Testamentum Graece editio XXVII). Often referred to as the \ldblquote critical\rdblquote  text, this is the most widely used Greek text of the New Testament in use today. Naturally, when these two factors are taken into consideration, it should not be surprising that the character of the LEB as a translation is fairly literal. This is a necessary by-product of the desire to have the English translation correspond transparently to the original language text. Nevertheless, a serious attempt has been made within these constraints to produce a clear and readable English translation instead of a woodenly literal one. There are three areas in particular that need to be addressed to make a translation like the LEB more accessible to readers today, while at the same time maintaining easy comparison with the original language text. First, differences in word order have to be addressed. In this regard, the LEB follows standard English word order, not the word order of Koiné Greek. Anyone who needs to see the word order of the original Greek can readily consult the Lexham Greek-English Interlinear New Testament , which contains a sequence line which gives this information. Second, some expressions in biblical Greek are idiomatic,so that a literal translation would be meaningless or would miscommunicate the true meaning. The LEB uses \dn6\f2\u8990?\up0\f1 lower corner\dn6\f2\u8991?\up0\f1  brackets to indicate such expressions, with a literal rendering given in a note. Third, words which have no equivalent in the original language text must sometimes be supplied in the English translation. Because the LEB is designedto be used alongside the original language texts of scripture, these supplied words are indicated with italics . In some cases the need for such supplied words is obvious, but in other cases where it is less clear a note has been included. Finally, the reader should remember that any Bible translation, to be useful to the person using it, must actually be read. I would encourage every user of the LEB, whether reading it alongside the original languages text or not, to remember that once we understand the meaning of a biblical text we are responsible to apply it first in our own lives, and then to share it with those around us. \sl-280\slmult0\tx6120\tab W. Hall Harris III \tab General Editor \tab Lexham English Bible \sl-280\slmult0 \f0\fs20 For the word of God is living and active and sharper than any double-edged sword, and piercing as far as the division of soul and spirit, both joints and marrow, and able to judge the reflections and thoughts of the heart.\tab (Heb 4:12 LEB)\lang1040\f3\fs24"
