translation_id	translation_name	translation_abbr	site	iso	num_books	num_chapters	num_verses	num_words	copyright_status	canonical_id	canonical_version	canonical_year
asv	American Standard Version	ASV	laparola.net	eng	27	260	7957	179836	public_domain	american-standard-version	1901	1901
bbe	Bible in Basic English	BBE	laparola.net	eng	27	260	7957	200857	public_domain	bible-in-basic-english	1941	1941
cei1974	C.E.I. (1974)	CEI1974	laparola.net	ita	27	260	7941	157519	public_domain	conferenza-episcopale-italiana	1974	1974
darbyfr	French Darby	DarbyFr	laparola.net	fra	27	260	7957	178788	public_domain	fra-darby-translation	1885	1885
dio	Diodati	Dio	laparola.net	ita	27	260	7958	167875	public_domain	diodati-bible	1607	1607
dr	Douay-Rheims	DR	laparola.net	eng	27	260	7922	178406	public_domain	douay-rheims	1752 (challoner revision)	1752
eng_kjv	King James Version (with Apocrypha)	KJVa	laparola.net	eng	27	260	7959	180453	public_domain	king-james-version	1769	1769
eng_kjv2006	King James Version (with definitions)	KJVd	laparola.net	eng	27	260	7957	180382	public_domain	king-james-version	1769	1769
eng_ylt	Young's Literal Translation	YLT	laparola.net	eng	27	260	7959	186843	public_domain	youngs-literal-translation	1898	1898
leb	Lexham English Bible	LEB	laparola.net	eng	27	260	7939	185968	open_license	lexham-english-bible	2012	2012
louissegond	Louis Segond	LS	laparola.net	fra	27	260	7958	174159	public_domain	louis-segond	1910	1910
lpv	La Parola è Vita	LPV	laparola.net	ita	27	260	7943	186802	copyrighted	la-parola-è-vita	2006	2006
lsv	Literal Standard Version	LSV	laparola.net	eng	27	260	7958	181064	open_license	literal-standard-version	2020	2020
luzzi	Riveduta (Luzzi)	Luzzi	laparola.net	ita	27	260	7941	163386	public_domain	riveduta	1924	1924
martini	Martini	Mart	laparola.net	ita	27	260	7952	163580	public_domain	martini	1781	1781
nd	Nuova Diodati	ND	laparola.net	ita	27	260	7958	165705	copyrighted	nuova-diodati	1991	1991
nr	Nuova Riveduta	NR	laparola.net	ita	27	260	7958	161394	copyrighted	nuova-riveduta	2006	2006
nr94	Nuova Riveduta (1994)	NR94	laparola.net	ita	27	260	7959	161054	copyrighted	nuova-riveduta	1994	1994
ostervald	Ostervald	Oster	laparola.net	fra	27	260	7958	177599	public_domain	ostervald	1996	1996
