work_id	display_name
2001-translation	2001 Translation
21st-century-king-james-version	21st Century King James Version
american-king-james-version	American King James Version
american-standard-version	American Standard Version
amplified-bible	Amplified Bible
anderson-new-testament	Anderson New Testament
aramaic-plain-english	Aramaic Bible in Plain English
berean-literal-bible	Berean Literal Bible
berean-standard-bible	Berean Standard Bible
berean-study-bible	Berean Standard Bible
bible-crampon	Traduction Crampon
bible-de-tours	Grande Bible de Tours
bible-des-peuples	Bible des Peuples
bible-du-semeur	Bible du Semeur
bible-francais-courant	Bible en français courant
bible-in-basic-english	Bible in Basic English
bible-machaira	Bible Machaira
bible-martin	Bible Martin
bible-nouvelle-francais-courant	Nouvelle Bible en français courant
biblia-brzeska	Biblia Brzeska
biblia-de-america	Biblia de América
biblia-de-la-casa-de-la-biblia	La Biblia (La Casa de la Biblia)
biblia-del-jubileo	Biblia del Jubileo
biblia-del-oso	Biblia del Oso
biblia-gdanska	Biblia Gdańska
biblia-jakuba-wujka	Biblia Wujka
biblia-krola-jakuba	Biblia Króla Jakuba
biblia-libre	Versión Biblia Libre
biblia-poznanska	Biblia Poznańska
biblia-tysiaclecia	Biblia Tysiąclecia
biblia-warszawska	Biblia Warszawska
biblia-warszawsko-praska	Biblia warszawsko-praska
bishops-bible	Bishops' Bible
bovet-bonnet	Bible Bovet-Bonnet
byzantine-text-version	The Text-Critical English New Testament
catholic-public-domain-version	Catholic Public Domain Version
charles-thomson	Thomson's Translation
christian-standard-bible	Christian Standard Bible
common-english-bible	Common English Bible
complete-jewish-bible	Complete Jewish Bible
conferenza-episcopale-italiana	Bibbia CEI
contemporary-english-version	Contemporary English Version
coverdale-bible	Coverdale Bible
dabrowski-greka	Ks. Eugeniusz Dąbrowski (Nowy Testament z greckiego)
dabrowski-wulgata	Ks. Eugeniusz Dąbrowski (Nowy Testament z Wulgaty)
diodati-bible	Bibbia Diodati
dios-habla-hoy	Dios Habla Hoy
disciples-literal-new-testament	Disciples’ Literal New Testament
douay-rheims	Douay–Rheims Bible
easy-to-read-version	Easy-to-Read Version
easyenglish-bible	EasyEnglish Bible
eib-nowe-przymierze-literal	Stare i Nowe Przymierze (przekład dosłowny)
eib-nowe-przymierze-literary	Stare i Nowe Przymierze (przekład literacki)
eng-darby-translation	Darby Translation
eng-new-world-translation	New World Translation
english-interlinear-of-the-orthodox-yiddish-brit-chadasha	English Interlinear of the Orthodox Yiddish Brit Chadasha
english-majority-text-version	English Majority Text Version
english-revised-version	Revised Version
english-standard-version	English Standard Version
evangelical-heritage-version	Evangelical Heritage Version
expanded-bible	Expanded Bible
explained-bible	Bible expliquée
faithful-version	A Faithful Version
family-35-nt	The English New Testament According to Family 35
first-nations-version	First Nations Version
fra-darby-translation	Bible Darby
fra-jerusalem-bible	Bible de Jérusalem
fra-new-world-translation	Traduction du monde nouveau
frainc-comtois	Évangile de Matthieu (frainc-comtois)
free-bible-version	Free Bible Version
french-king-james-bible	Bible King James Française
french-model-translation	Traduction Française de Modèle
geneva-bible-eng	Geneva Bible
geneva-bible-fra	Nouvelle Édition de Genève
godbey-new-testament	Godbey New Testament
gods-word-translation	GOD'S WORD Translation
good-news	Good News Translation
greens-literal-translation	Green's Literal Translation
grzymala	Ks. Edward Grzymała (Ewangelie i Dzieje Apostolskie)
haweis-new-testament	Haweis New Testament
hb-pratt	Versión Moderna
holman-christian-standard-bible	Holman Christian Standard Bible
interconfessionale-in-lingua-corrente	Parola del Signore - La Bibbia in lingua corrente
international-childrens-bible	International Children's Bible
international-standard-version	International Standard Version
israeli-authorized-version	Israeli Authorized Version
ita-new-world-translation	Traduzione del Nuovo Mondo
james-moffatt-new-testament	Moffatt New Testament
jb-phillips-new-testament	J.B. Phillips New Testament
john-wesley-etheridge	Etheridge's Translation of the Peshitta
jubilee-bible	Jubilee Bible 2000
junemann-bible	Biblia de Jünemann
king-james-version-2000	King James 2000 Bible
king-james-version	King James Version
la-bibbia-della-gioia	La Bibbia della Gioia
la-biblia-de-las-americas	La Biblia de las Américas
la-biblia-en-espanol-sencillo	La Biblia en Español Sencillo
la-biblia-hispanoamericana-interconfesional	Biblia Interconfesional Hispanoamericana
la-biblia-latinoamericana	La Biblia Latinoamericana
la-palabra	La Palabra (edición latinoamericana)
la-parola-e-vita	La Parola è Vita
lamsa-bible	Lamsa Bible
lausanne	Bible de Lausanne
legacy-standard-bible	Legacy Standard Bible
lenguaje-actual	Traducción en Lenguaje Actual
lexham-english-bible	Lexham English Bible
literal-emphasis-translation	Literal Emphasis Translation
literal-standard-version	Literal Standard Version
living-bible	Living Bible
louis-claude-fillion	Bible Fillion
louis-segond	Louis Segond
mace-new-testament	Mace New Testament
majority-text-version	English Majority Text Version
mariawici	Przekład Mariawitów (Nowy Testament)
martini	Bibbia Martini
mazurkiewicz	Andrzej Mazurkiewicz (Nowy Testament)
mit-idiomatic-translation-of-the-new-testament	MIT Idiomatic Translation of the New Testament
modern-english-version	Modern English Version
mounce-reverse-interlinear-new-testament	Mounce Reverse Interlinear New Testament
murdock-peshitta	Murdock's Translation of the Peshitta
names-of-god-bible	Names of God Bible
neo-crampon-libre	Néo-Crampon Libre
net-bible	NET Bible
new-american-bible-revised-edition	New American Bible Revised Edition
new-american-standard-bible	New American Standard Bible
new-catholic-bible	New Catholic Bible
new-century-version	New Century Version
new-heart-english-bible	New Heart English Bible
new-international-readers-version	New International Reader's Version
new-international-version	New International Version
new-king-james-version	New King James Version
new-life-version	New Life Version
new-living-translation	New Living Translation
new-matthew-bible	New Matthew Bible
new-messianic-version-bible	New Messianic Version Bible
new-revised-standard-version	New Revised Standard Version
nouvelle-edition-de-geneve	Nouvelle Édition de Genève
nouvelle-segond-revisee	Nouvelle Version Segond Révisée
nouvelle-segond	Nouvelle Bible Segond
nowa-biblia-gdanska	Nowa Biblia Gdańska
nowy-przeklad-dynamiczny	Nowy Przekład Dynamiczny
noyes-bible	Noyes Bible
nt-wright-new-testament-for-everyone	The New Testament for Everyone
nueva-biblia-de-las-americas	Nueva Biblia de las Américas
nueva-biblia-latinoamericana-de-hoy	Nueva Biblia Latinoamericana de Hoy
nueva-biblia-viva	Nueva Biblia Viva
nueva-traduccion-viviente	Nueva Traducción Viviente
nueva-version-internacional	Nueva Versión Internacional
nuova-diodati	La Nuova Diodati
nuova-riveduta	Nuova Riveduta
open-english-bible	Open English Bible
orthodox-jewish-bible	Orthodox Jewish Bible
ostervald-godieu-levigilant	Bible Ostervald (révision Godieu-Levigilant)
ostervald	Bible Ostervald
palabra-de-dios-para-ti	Palabra de Dios para Ti
palabra-de-dios-para-todos	Palabra de Dios para Todos
parole-de-vie	Parole de Vie
parole-vivante	Parole Vivante
perret-gentil-rilliet	Perret-Gentil & Rilliet
peshitta-espanol	Peshitta en Español
pirot-clamer	Bible Pirot-Clamer
plain-english-version	Plain English Version
pol-new-world-translation	Przekład Nowego Świata
przeklad-torunski	Przekład toruński
radiate-new-testament	Radiate New Testament
rakowski-nt	Nowy Testament rakowski
reina-valera-actualizada	Reina Valera Actualizada
reina-valera-antigua	Reina-Valera Antigua
reina-valera-contemporanea	Reina Valera Contemporánea
reina-valera-gomez	Reina Valera Gómez
reina-valera-revisada	Reina Valera Revisada
reina-valera-revised-version	Reina-Valera 1865
reina-valera-updated	Reina Valera Actualizada 1989
reina-valera	Reina-Valera
restored-name-king-james-version	Restored Name King James Version
revised-geneva-translation	Revised Geneva Translation
revised-standard-version	Revised Standard Version
ricciotti	Bibbia Ricciotti
riveduta	Riveduta
rotherham-emphasized-bible	Rotherham's Emphasized Bible
sacy-bible	Bible de Sacy
sagradas-escrituras	Sagradas Escrituras
sainte-bible-libre	Sainte Bible libre pour le monde
segond-21	Bible Segond 21
segun-el-texto-bizantino	Según el Texto Bizantino
simple-french-bible	Bible en français simple
slowo-zycia	Słowo Życia
smiths-literal-translation	Smith's Literal Translation
soloweyczyk	Eliasz Sołoweyczyk (Ewangelia świętego Mateusza)
spa-jerusalem-bible	Biblia de Jerusalén
spa-new-world-translation	Traducción del Nuevo Mundo
spanish-free-bible-for-the-world	Santa Biblia libre para el mundo
st-paul-from-the-trenches	St. Paul from the Trenches
szczepanski	Ks. Władysław Szczepański (Ewangelie i Dzieje Apostolskie)
szymon-budny	Biblia nieświeska
text-critical-english-nt	Text-Critical English New Testament
the-books-of-the-bible	The Books of the Bible New Testament
the-message-bible	The Message
the-passion-translation	The Passion Translation
the-scriptures	The Scriptures
the-voice-bible	The Voice
third-millennium-bible	Third Millennium Bible
tintori	Bibbia Tintori
traduccion-contemporanea-de-la-biblia	Traducción Contemporánea de la Biblia
translation-for-translators	Translation for Translators
translator-translation	A Translator's Translation of the New Testament
tree-of-life-version	Tree of Life Version
trench-epistles-gwc	The Trench Epistles GWC
tyndale-bible	Tyndale Bible
unlocked-literal-bible	Unlocked Literal Bible
uwspolczesniona-biblia-gdanska	Uwspółcześniona Biblia Gdańska
vigouroux	Bible Vigouroux
vw-edition-bible	VW-Edition Bible
webster-bible	Webster's Bible
weymouth-new-testament	Weymouth New Testament
who-bible	Who?
world-english-bible	World English Bible
